user_id,name,gender,location,vehicle_type,preferred_mechanics,past_service_history
user_12,Alexander Bridges,Other,"{'lat': 26.921917, 'long': 71.624112}",Truck,"['mech_110', 'mech_173', 'mech_258', 'mech_306']","[{'mechanic_id': 'mech_446', 'service_type': 'Transmission Repair', 'rating': 3.0}, {'mechanic_id': 'mech_366', 'service_type': 'Battery Change', 'rating': 4.0}, {'mechanic_id': 'mech_487', 'service_type': 'Suspension Fix', 'rating': 3.9}, {'mechanic_id': 'mech_274', 'service_type': 'Suspension Fix', 'rating': 4.6}, {'mechanic_id': 'mech_267', 'service_type': 'Wheel Alignment', 'rating': 3.5}, {'mechanic_id': 'mech_363', 'service_type': 'Battery Change', 'rating': 3.0}, {'mechanic_id': 'mech_352', 'service_type': 'Engine Repair', 'rating': 3.5}, {'mechanic_id': 'mech_356', 'service_type': 'Transmission Repair', 'rating': 3.3}, {'mechanic_id': 'mech_293', 'service_type': 'Battery Change', 'rating': 3.0}]"
user_13,Scott Anderson,Male,"{'lat': 23.562821, 'long': 76.374468}",Electric Vehicle,"['mech_216', 'mech_1', 'mech_391', 'mech_88', 'mech_125']","[{'mechanic_id': 'mech_266', 'service_type': 'Brake Repair', 'rating': 4.2}, {'mechanic_id': 'mech_313', 'service_type': 'General Service', 'rating': 3.5}, {'mechanic_id': 'mech_273', 'service_type': 'Engine Repair', 'rating': 3.0}, {'mechanic_id': 'mech_175', 'service_type': 'Transmission Repair', 'rating': 3.4}]"
user_14,Spencer Bailey,Female,"{'lat': 27.61556, 'long': 79.098248}",Bike,['mech_116'],"[{'mechanic_id': 'mech_346', 'service_type': 'Battery Change', 'rating': 3.6}, {'mechanic_id': 'mech_192', 'service_type': 'Brake Repair', 'rating': 4.0}, {'mechanic_id': 'mech_164', 'service_type': 'Suspension Fix', 'rating': 4.2}]"
user_15,Dennis Wheeler,Female,"{'lat': 25.754819, 'long': 70.335812}",Car,"['mech_188', 'mech_443']","[{'mechanic_id': 'mech_335', 'service_type': 'Oil Change', 'rating': 3.5}, {'mechanic_id': 'mech_279', 'service_type': 'AC Service', 'rating': 3.5}, {'mechanic_id': 'mech_469', 'service_type': 'Oil Change', 'rating': 4.2}, {'mechanic_id': 'mech_499', 'service_type': 'Suspension Fix', 'rating': 4.8}]"
user_16,Bryan Love,Other,"{'lat': 29.544658, 'long': 77.725184}",Electric Vehicle,"['mech_71', 'mech_92', 'mech_293']","[{'mechanic_id': 'mech_211', 'service_type': 'Wheel Alignment', 'rating': 4.5}, {'mechanic_id': 'mech_94', 'service_type': 'Suspension Fix', 'rating': 4.1}, {'mechanic_id': 'mech_114', 'service_type': 'Wheel Alignment', 'rating': 4.7}, {'mechanic_id': 'mech_358', 'service_type': 'Oil Change', 'rating': 4.2}, {'mechanic_id': 'mech_151', 'service_type': 'Engine Repair', 'rating': 4.6}, {'mechanic_id': 'mech_6', 'service_type': 'Brake Repair', 'rating': 3.8}, {'mechanic_id': 'mech_480', 'service_type': 'Tire Replacement', 'rating': 4.4}, {'mechanic_id': 'mech_393', 'service_type': 'Engine Repair', 'rating': 4.9}, {'mechanic_id': 'mech_197', 'service_type': 'Tire Replacement', 'rating': 3.7}]"
user_17,Robert Brown,Male,"{'lat': 26.832439, 'long': 70.065463}",Truck,"['mech_227', 'mech_444']","[{'mechanic_id': 'mech_485', 'service_type': 'Tire Replacement', 'rating': 5.0}, {'mechanic_id': 'mech_19', 'service_type': 'Tire Replacement', 'rating': 4.4}]"
user_18,Stephanie Mata,Male,"{'lat': 22.216681, 'long': 72.858999}",Electric Vehicle,['mech_237'],"[{'mechanic_id': 'mech_441', 'service_type': 'Wheel Alignment', 'rating': 3.9}, {'mechanic_id': 'mech_185', 'service_type': 'Brake Repair', 'rating': 4.8}, {'mechanic_id': 'mech_433', 'service_type': 'Transmission Repair', 'rating': 4.5}, {'mechanic_id': 'mech_330', 'service_type': 'General Service', 'rating': 3.4}, {'mechanic_id': 'mech_416', 'service_type': 'Suspension Fix', 'rating': 4.7}, {'mechanic_id': 'mech_470', 'service_type': 'Transmission Repair', 'rating': 3.1}]"
user_19,William Anderson,Other,"{'lat': 20.486104, 'long': 77.591977}",Bike,"['mech_169', 'mech_473']","[{'mechanic_id': 'mech_396', 'service_type': 'General Service', 'rating': 3.8}, {'mechanic_id': 'mech_484', 'service_type': 'AC Service', 'rating': 4.9}, {'mechanic_id': 'mech_14', 'service_type': 'Tire Replacement', 'rating': 3.0}, {'mechanic_id': 'mech_10', 'service_type': 'Oil Change', 'rating': 3.7}, {'mechanic_id': 'mech_20', 'service_type': 'Battery Change', 'rating': 4.3}, {'mechanic_id': 'mech_171', 'service_type': 'Brake Repair', 'rating': 4.7}, {'mechanic_id': 'mech_485', 'service_type': 'Tire Replacement', 'rating': 4.2}, {'mechanic_id': 'mech_77', 'service_type': 'AC Service', 'rating': 4.1}, {'mechanic_id': 'mech_158', 'service_type': 'Battery Change', 'rating': 4.2}, {'mechanic_id': 'mech_70', 'service_type': 'Brake Repair', 'rating': 4.9}]"
user_20,Travis Smith,Female,"{'lat': 20.076639, 'long': 78.078108}",Car,"['mech_97', 'mech_218', 'mech_93', 'mech_165', 'mech_40']","[{'mechanic_id': 'mech_88', 'service_type': 'Battery Change', 'rating': 3.4}, {'mechanic_id': 'mech_238', 'service_type': 'Suspension Fix', 'rating': 4.9}, {'mechanic_id': 'mech_8', 'service_type': 'Wheel Alignment', 'rating': 3.0}, {'mechanic_id': 'mech_355', 'service_type': 'Brake Repair', 'rating': 3.2}, {'mechanic_id': 'mech_456', 'service_type': 'Transmission Repair', 'rating': 4.1}, {'mechanic_id': 'mech_279', 'service_type': 'Suspension Fix', 'rating': 3.0}, {'mechanic_id': 'mech_121', 'service_type': 'Tire Replacement', 'rating': 4.0}, {'mechanic_id': 'mech_301', 'service_type': 'Engine Repair', 'rating': 3.7}, {'mechanic_id': 'mech_404', 'service_type': 'Battery Change', 'rating': 3.1}]"
user_21,Amy Hampton,Male,"{'lat': 20.302254, 'long': 72.567323}",Truck,['mech_163'],"[{'mechanic_id': 'mech_192', 'service_type': 'Wheel Alignment', 'rating': 3.9}, {'mechanic_id': 'mech_491', 'service_type': 'Engine Repair', 'rating': 3.7}, {'mechanic_id': 'mech_457', 'service_type': 'Brake Repair', 'rating': 4.8}, {'mechanic_id': 'mech_468', 'service_type': 'General Service', 'rating': 4.9}, {'mechanic_id': 'mech_426', 'service_type': 'General Service', 'rating': 3.9}, {'mechanic_id': 'mech_307', 'service_type': 'Transmission Repair', 'rating': 3.0}]"
user_22,Monica Franco,Male,"{'lat': 27.686433, 'long': 78.656561}",Car,"['mech_454', 'mech_305']","[{'mechanic_id': 'mech_54', 'service_type': 'Engine Repair', 'rating': 3.7}, {'mechanic_id': 'mech_240', 'service_type': 'Engine Repair', 'rating': 3.9}, {'mechanic_id': 'mech_475', 'service_type': 'Engine Repair', 'rating': 3.5}, {'mechanic_id': 'mech_347', 'service_type': 'Battery Change', 'rating': 3.2}, {'mechanic_id': 'mech_333', 'service_type': 'Brake Repair', 'rating': 3.8}]"
user_23,Robert Yang,Other,"{'lat': 23.629852, 'long': 77.644088}",Electric Vehicle,"['mech_102', 'mech_478']","[{'mechanic_id': 'mech_244', 'service_type': 'Engine Repair', 'rating': 4.5}, {'mechanic_id': 'mech_471', 'service_type': 'General Service', 'rating': 3.9}, {'mechanic_id': 'mech_53', 'service_type': 'Brake Repair', 'rating': 4.3}]"
user_24,Sydney Terry,Other,"{'lat': 20.554204, 'long': 72.606444}",Bike,"['mech_284', 'mech_61', 'mech_127', 'mech_15']","[{'mechanic_id': 'mech_346', 'service_type': 'Suspension Fix', 'rating': 3.4}, {'mechanic_id': 'mech_191', 'service_type': 'General Service', 'rating': 3.2}, {'mechanic_id': 'mech_452', 'service_type': 'Battery Change', 'rating': 4.5}]"
user_25,Edward Johnson,Female,"{'lat': 23.97149, 'long': 78.752537}",Electric Vehicle,"['mech_248', 'mech_45', 'mech_314', 'mech_134']","[{'mechanic_id': 'mech_5', 'service_type': 'Engine Repair', 'rating': 4.4}, {'mechanic_id': 'mech_54', 'service_type': 'Battery Change', 'rating': 3.9}]"
user_26,Chad Martinez,Other,"{'lat': 23.398943, 'long': 79.568819}",Car,"['mech_30', 'mech_424']","[{'mechanic_id': 'mech_270', 'service_type': 'Tire Replacement', 'rating': 3.7}, {'mechanic_id': 'mech_339', 'service_type': 'General Service', 'rating': 4.2}, {'mechanic_id': 'mech_478', 'service_type': 'Battery Change', 'rating': 4.3}, {'mechanic_id': 'mech_173', 'service_type': 'Transmission Repair', 'rating': 4.9}, {'mechanic_id': 'mech_195', 'service_type': 'Wheel Alignment', 'rating': 4.5}, {'mechanic_id': 'mech_354', 'service_type': 'Suspension Fix', 'rating': 4.1}, {'mechanic_id': 'mech_329', 'service_type': 'General Service', 'rating': 4.1}, {'mechanic_id': 'mech_4', 'service_type': 'Suspension Fix', 'rating': 3.3}, {'mechanic_id': 'mech_144', 'service_type': 'Wheel Alignment', 'rating': 4.0}]"
user_27,Ariana Walker,Female,"{'lat': 22.743243, 'long': 78.110609}",Truck,"['mech_142', 'mech_156', 'mech_195', 'mech_16']","[{'mechanic_id': 'mech_444', 'service_type': 'Transmission Repair', 'rating': 3.5}, {'mechanic_id': 'mech_464', 'service_type': 'Suspension Fix', 'rating': 4.9}, {'mechanic_id': 'mech_384', 'service_type': 'Battery Change', 'rating': 3.2}, {'mechanic_id': 'mech_344', 'service_type': 'Suspension Fix', 'rating': 4.2}, {'mechanic_id': 'mech_38', 'service_type': 'Brake Repair', 'rating': 4.2}, {'mechanic_id': 'mech_321', 'service_type': 'Suspension Fix', 'rating': 4.3}, {'mechanic_id': 'mech_237', 'service_type': 'Oil Change', 'rating': 3.4}, {'mechanic_id': 'mech_234', 'service_type': 'Engine Repair', 'rating': 3.4}]"
user_28,Anthony Simpson,Female,"{'lat': 22.2131, 'long': 71.465214}",Bike,"['mech_348', 'mech_4', 'mech_143', 'mech_33']","[{'mechanic_id': 'mech_236', 'service_type': 'Brake Repair', 'rating': 4.5}, {'mechanic_id': 'mech_158', 'service_type': 'Tire Replacement', 'rating': 4.4}, {'mechanic_id': 'mech_247', 'service_type': 'Brake Repair', 'rating': 3.4}, {'mechanic_id': 'mech_335', 'service_type': 'Battery Change', 'rating': 3.0}, {'mechanic_id': 'mech_471', 'service_type': 'Battery Change', 'rating': 4.1}]"
user_29,Kristen Graham,Male,"{'lat': 26.563852, 'long': 74.680202}",Truck,"['mech_139', 'mech_415']","[{'mechanic_id': 'mech_119', 'service_type': 'General Service', 'rating': 3.8}, {'mechanic_id': 'mech_8', 'service_type': 'Engine Repair', 'rating': 4.7}, {'mechanic_id': 'mech_266', 'service_type': 'Brake Repair', 'rating': 3.8}, {'mechanic_id': 'mech_424', 'service_type': 'Oil Change', 'rating': 3.4}, {'mechanic_id': 'mech_385', 'service_type': 'Tire Replacement', 'rating': 3.7}, {'mechanic_id': 'mech_151', 'service_type': 'Suspension Fix', 'rating': 3.2}]"
user_30,Adam Hall,Male,"{'lat': 25.218238, 'long': 78.461441}",Truck,['mech_159'],"[{'mechanic_id': 'mech_231', 'service_type': 'Tire Replacement', 'rating': 3.8}, {'mechanic_id': 'mech_113', 'service_type': 'Tire Replacement', 'rating': 4.2}, {'mechanic_id': 'mech_36', 'service_type': 'Oil Change', 'rating': 4.2}, {'mechanic_id': 'mech_12', 'service_type': 'Battery Change', 'rating': 4.1}, {'mechanic_id': 'mech_171', 'service_type': 'AC Service', 'rating': 4.4}, {'mechanic_id': 'mech_5', 'service_type': 'Wheel Alignment', 'rating': 4.7}, {'mechanic_id': 'mech_161', 'service_type': 'Engine Repair', 'rating': 3.6}, {'mechanic_id': 'mech_90', 'service_type': 'General Service', 'rating': 4.2}]"
user_31,Brittany Aguilar,Other,"{'lat': 26.569203, 'long': 72.440598}",Car,"['mech_210', 'mech_328', 'mech_59', 'mech_347']","[{'mechanic_id': 'mech_157', 'service_type': 'AC Service', 'rating': 3.8}, {'mechanic_id': 'mech_281', 'service_type': 'Brake Repair', 'rating': 4.1}, {'mechanic_id': 'mech_379', 'service_type': 'Battery Change', 'rating': 4.4}]"
user_32,Michael Nichols,Female,"{'lat': 25.927991, 'long': 73.200949}",Truck,"['mech_117', 'mech_247', 'mech_312']","[{'mechanic_id': 'mech_327', 'service_type': 'AC Service', 'rating': 4.8}, {'mechanic_id': 'mech_422', 'service_type': 'Battery Change', 'rating': 4.1}, {'mechanic_id': 'mech_135', 'service_type': 'Oil Change', 'rating': 4.5}, {'mechanic_id': 'mech_271', 'service_type': 'Engine Repair', 'rating': 3.2}, {'mechanic_id': 'mech_44', 'service_type': 'Tire Replacement', 'rating': 3.1}, {'mechanic_id': 'mech_227', 'service_type': 'Suspension Fix', 'rating': 3.4}, {'mechanic_id': 'mech_406', 'service_type': 'Transmission Repair', 'rating': 3.5}, {'mechanic_id': 'mech_15', 'service_type': 'Wheel Alignment', 'rating': 3.2}, {'mechanic_id': 'mech_390', 'service_type': 'Transmission Repair', 'rating': 3.7}, {'mechanic_id': 'mech_407', 'service_type': 'Oil Change', 'rating': 4.1}]"
user_33,Tracy Mendoza,Other,"{'lat': 27.055371, 'long': 74.668054}",Electric Vehicle,"['mech_499', 'mech_27', 'mech_143', 'mech_316', 'mech_70']","[{'mechanic_id': 'mech_71', 'service_type': 'Tire Replacement', 'rating': 4.1}, {'mechanic_id': 'mech_298', 'service_type': 'Tire Replacement', 'rating': 3.5}, {'mechanic_id': 'mech_185', 'service_type': 'Wheel Alignment', 'rating': 4.2}, {'mechanic_id': 'mech_78', 'service_type': 'Brake Repair', 'rating': 5.0}, {'mechanic_id': 'mech_464', 'service_type': 'Transmission Repair', 'rating': 3.4}]"
user_34,Aaron Young MD,Male,"{'lat': 24.141669, 'long': 79.437794}",Bike,"['mech_481', 'mech_261', 'mech_378', 'mech_207', 'mech_427']","[{'mechanic_id': 'mech_85', 'service_type': 'Oil Change', 'rating': 4.6}, {'mechanic_id': 'mech_237', 'service_type': 'Engine Repair', 'rating': 3.3}, {'mechanic_id': 'mech_3', 'service_type': 'Brake Repair', 'rating': 3.7}, {'mechanic_id': 'mech_108', 'service_type': 'Oil Change', 'rating': 4.1}]"
user_35,Kristin Vasquez,Male,"{'lat': 25.763488, 'long': 76.844493}",Bike,"['mech_156', 'mech_88', 'mech_266', 'mech_490']","[{'mechanic_id': 'mech_249', 'service_type': 'Tire Replacement', 'rating': 4.4}, {'mechanic_id': 'mech_383', 'service_type': 'Engine Repair', 'rating': 4.6}, {'mechanic_id': 'mech_460', 'service_type': 'Transmission Repair', 'rating': 4.7}, {'mechanic_id': 'mech_30', 'service_type': 'Engine Repair', 'rating': 4.5}, {'mechanic_id': 'mech_436', 'service_type': 'Tire Replacement', 'rating': 3.6}]"
user_36,Jennifer Martinez,Female,"{'lat': 22.246511, 'long': 72.805973}",Electric Vehicle,"['mech_249', 'mech_376', 'mech_304', 'mech_24', 'mech_320']","[{'mechanic_id': 'mech_330', 'service_type': 'Wheel Alignment', 'rating': 4.6}, {'mechanic_id': 'mech_380', 'service_type': 'Transmission Repair', 'rating': 4.7}, {'mechanic_id': 'mech_15', 'service_type': 'Battery Change', 'rating': 3.7}, {'mechanic_id': 'mech_280', 'service_type': 'Tire Replacement', 'rating': 3.8}]"
user_37,Lori Parks,Other,"{'lat': 23.744659, 'long': 77.779414}",Car,"['mech_392', 'mech_262']","[{'mechanic_id': 'mech_70', 'service_type': 'Brake Repair', 'rating': 3.4}, {'mechanic_id': 'mech_328', 'service_type': 'Wheel Alignment', 'rating': 3.2}, {'mechanic_id': 'mech_382', 'service_type': 'Wheel Alignment', 'rating': 3.8}, {'mechanic_id': 'mech_2', 'service_type': 'Transmission Repair', 'rating': 4.0}]"
user_38,Amber Gomez,Female,"{'lat': 21.483524, 'long': 75.907031}",Truck,"['mech_51', 'mech_78', 'mech_316', 'mech_388']","[{'mechanic_id': 'mech_184', 'service_type': 'Brake Repair', 'rating': 4.1}, {'mechanic_id': 'mech_372', 'service_type': 'General Service', 'rating': 4.6}, {'mechanic_id': 'mech_124', 'service_type': 'Wheel Alignment', 'rating': 4.7}, {'mechanic_id': 'mech_369', 'service_type': 'Wheel Alignment', 'rating': 4.9}, {'mechanic_id': 'mech_365', 'service_type': 'Suspension Fix', 'rating': 3.5}, {'mechanic_id': 'mech_264', 'service_type': 'Oil Change', 'rating': 4.1}, {'mechanic_id': 'mech_496', 'service_type': 'General Service', 'rating': 3.4}]"
user_39,Denise Terrell,Female,"{'lat': 20.783262, 'long': 77.377272}",Electric Vehicle,"['mech_346', 'mech_95', 'mech_102', 'mech_465', 'mech_70']","[{'mechanic_id': 'mech_182', 'service_type': 'Transmission Repair', 'rating': 3.2}, {'mechanic_id': 'mech_182', 'service_type': 'Oil Change', 'rating': 4.2}, {'mechanic_id': 'mech_495', 'service_type': 'Battery Change', 'rating': 4.5}, {'mechanic_id': 'mech_237', 'service_type': 'Battery Change', 'rating': 4.5}, {'mechanic_id': 'mech_210', 'service_type': 'Wheel Alignment', 'rating': 4.6}, {'mechanic_id': 'mech_148', 'service_type': 'Oil Change', 'rating': 4.0}, {'mechanic_id': 'mech_107', 'service_type': 'AC Service', 'rating': 4.2}, {'mechanic_id': 'mech_323', 'service_type': 'General Service', 'rating': 4.3}, {'mechanic_id': 'mech_104', 'service_type': 'Brake Repair', 'rating': 4.6}]"
user_40,Laura Mendoza,Male,"{'lat': 28.835673, 'long': 74.459262}",Car,"['mech_122', 'mech_436']","[{'mechanic_id': 'mech_375', 'service_type': 'Battery Change', 'rating': 3.2}, {'mechanic_id': 'mech_185', 'service_type': 'Transmission Repair', 'rating': 3.2}, {'mechanic_id': 'mech_52', 'service_type': 'General Service', 'rating': 3.2}]"
user_41,Mark Randolph,Female,"{'lat': 25.394737, 'long': 77.927852}",Electric Vehicle,"['mech_160', 'mech_147']","[{'mechanic_id': 'mech_216', 'service_type': 'Wheel Alignment', 'rating': 4.3}, {'mechanic_id': 'mech_466', 'service_type': 'Battery Change', 'rating': 3.9}, {'mechanic_id': 'mech_408', 'service_type': 'Oil Change', 'rating': 3.4}, {'mechanic_id': 'mech_336', 'service_type': 'General Service', 'rating': 3.8}, {'mechanic_id': 'mech_193', 'service_type': 'Oil Change', 'rating': 4.4}, {'mechanic_id': 'mech_157', 'service_type': 'Transmission Repair', 'rating': 3.4}]"
user_42,Ethan Mitchell,Male,"{'lat': 27.872591, 'long': 72.870854}",Bike,"['mech_143', 'mech_203', 'mech_50']","[{'mechanic_id': 'mech_419', 'service_type': 'Tire Replacement', 'rating': 4.0}, {'mechanic_id': 'mech_33', 'service_type': 'Engine Repair', 'rating': 3.8}, {'mechanic_id': 'mech_177', 'service_type': 'Oil Change', 'rating': 4.7}]"
user_43,Keith Anderson,Male,"{'lat': 27.608497, 'long': 74.57836}",Truck,"['mech_443', 'mech_91']","[{'mechanic_id': 'mech_491', 'service_type': 'Oil Change', 'rating': 4.6}, {'mechanic_id': 'mech_400', 'service_type': 'Engine Repair', 'rating': 3.0}, {'mechanic_id': 'mech_13', 'service_type': 'Tire Replacement', 'rating': 5.0}, {'mechanic_id': 'mech_213', 'service_type': 'Brake Repair', 'rating': 4.6}, {'mechanic_id': 'mech_111', 'service_type': 'Oil Change', 'rating': 4.8}]"
user_44,Matthew Reynolds,Female,"{'lat': 26.943678, 'long': 72.136861}",Electric Vehicle,"['mech_464', 'mech_43']","[{'mechanic_id': 'mech_201', 'service_type': 'Suspension Fix', 'rating': 3.8}, {'mechanic_id': 'mech_97', 'service_type': 'Oil Change', 'rating': 3.5}, {'mechanic_id': 'mech_211', 'service_type': 'Battery Change', 'rating': 3.4}, {'mechanic_id': 'mech_373', 'service_type': 'Brake Repair', 'rating': 3.0}, {'mechanic_id': 'mech_431', 'service_type': 'Oil Change', 'rating': 3.6}, {'mechanic_id': 'mech_93', 'service_type': 'AC Service', 'rating': 4.6}, {'mechanic_id': 'mech_406', 'service_type': 'Suspension Fix', 'rating': 3.1}]"
user_45,Robert Hubbard,Male,"{'lat': 24.761742, 'long': 72.064199}",Bike,"['mech_476', 'mech_260', 'mech_254', 'mech_230']","[{'mechanic_id': 'mech_101', 'service_type': 'Brake Repair', 'rating': 3.7}, {'mechanic_id': 'mech_372', 'service_type': 'Tire Replacement', 'rating': 4.2}, {'mechanic_id': 'mech_62', 'service_type': 'Tire Replacement', 'rating': 4.4}, {'mechanic_id': 'mech_70', 'service_type': 'Oil Change', 'rating': 4.7}, {'mechanic_id': 'mech_70', 'service_type': 'AC Service', 'rating': 4.8}, {'mechanic_id': 'mech_25', 'service_type': 'Battery Change', 'rating': 4.2}, {'mechanic_id': 'mech_241', 'service_type': 'Oil Change', 'rating': 3.4}, {'mechanic_id': 'mech_38', 'service_type': 'Suspension Fix', 'rating': 4.8}]"
